run_accession	sample_accession	fastq_ftp	first_created
ERR13601442	SAMEA115958287	ftp.sra.ebi.ac.uk/vol1/fastq/ERR136/042/ERR13601442/ERR13601442_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR136/042/ERR13601442/ERR13601442_2.fastq.gz	2024-08-27
ERR13601443	SAMEA115958288	ftp.sra.ebi.ac.uk/vol1/fastq/ERR136/043/ERR13601443/ERR13601443_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR136/043/ERR13601443/ERR13601443_2.fastq.gz	2024-08-27
SRR30211036	SAMN43065679	ftp.sra.ebi.ac.uk/vol1/fastq/SRR302/036/SRR30211036/SRR30211036_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR302/036/SRR30211036/SRR30211036_2.fastq.gz	2024-08-14
SRR30252164	SAMN43202716	ftp.sra.ebi.ac.uk/vol1/fastq/SRR302/064/SRR30252164/SRR30252164_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR302/064/SRR30252164/SRR30252164_2.fastq.gz	2024-08-22
SRR30275162	SAMN43226784	ftp.sra.ebi.ac.uk/vol1/fastq/SRR302/062/SRR30275162/SRR30275162_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR302/062/SRR30275162/SRR30275162_2.fastq.gz	2024-08-22
SRR30316269	SAMN43275584	ftp.sra.ebi.ac.uk/vol1/fastq/SRR303/069/SRR30316269/SRR30316269_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR303/069/SRR30316269/SRR30316269_2.fastq.gz	2024-08-23
SRR30211033	SAMN43065682	ftp.sra.ebi.ac.uk/vol1/fastq/SRR302/033/SRR30211033/SRR30211033_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR302/033/SRR30211033/SRR30211033_2.fastq.gz	2024-08-14
SRR30211034	SAMN43065681	ftp.sra.ebi.ac.uk/vol1/fastq/SRR302/034/SRR30211034/SRR30211034_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR302/034/SRR30211034/SRR30211034_2.fastq.gz	2024-08-14
SRR30211035	SAMN43065680	ftp.sra.ebi.ac.uk/vol1/fastq/SRR302/035/SRR30211035/SRR30211035_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR302/035/SRR30211035/SRR30211035_2.fastq.gz	2024-08-14
SRR30252165	SAMN43202715	ftp.sra.ebi.ac.uk/vol1/fastq/SRR302/065/SRR30252165/SRR30252165_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR302/065/SRR30252165/SRR30252165_2.fastq.gz	2024-08-22
SRR30252166	SAMN43202714	ftp.sra.ebi.ac.uk/vol1/fastq/SRR302/066/SRR30252166/SRR30252166_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR302/066/SRR30252166/SRR30252166_2.fastq.gz	2024-08-22
SRR30316265	SAMN43275588	ftp.sra.ebi.ac.uk/vol1/fastq/SRR303/065/SRR30316265/SRR30316265_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR303/065/SRR30316265/SRR30316265_2.fastq.gz	2024-08-23
SRR30316266	SAMN43275587	ftp.sra.ebi.ac.uk/vol1/fastq/SRR303/066/SRR30316266/SRR30316266_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR303/066/SRR30316266/SRR30316266_2.fastq.gz	2024-08-23
